In	o	IN	0	prep	5	0	root	0
the	o	DT	1	det	3	0	root	0
previous	o	JJ	2	amod	3	0	root	0
section	o	NN	3	pobj	0	0	root	0
we	o	PRP	4	nsubj	5	0	root	0
discussed	o	VBD	5	ROOT	5	0	root	0
models	o	NNS	6	dobj	5	0	root	0
where	o	WRB	7	advmod	14	0	root	0
the	o	DT	8	det	12	0	root	0
net	o	JJ	9	amod	12	0	root	0
heating	o	NN	10	compound	11	0	root	0
efficiency	o	NN	11	compound	12	0	root	0
ηnet	o	NN	12	nsubjpass	14	0	root	0
was	o	VBD	13	auxpass	14	0	root	0
fixed	o	VBN	14	relcl	6	0	root	0
at	o	IN	15	prep	14	0	root	0
a	o	DT	16	det	18	0	root	0
constant	o	JJ	17	amod	18	0	root	0
value	o	NN	18	pobj	15	0	root	0
at	o	IN	19	prep	14	0	root	0
all	o	DT	20	det	21	0	root	0
altitudes	o	NNS	21	pobj	19	0	root	0
.	o	.	22	punct	5	0	root	0

In	o	IN	23	prep	27	0	root	0
this	o	DT	24	det	25	0	root	0
section	o	NN	25	pobj	23	0	root	0
we	o	PRP	26	nsubj	27	0	root	0
discuss	o	VBP	27	ROOT	27	0	root	0
more	o	RBR	28	advmod	29	0	root	0
realistic	o	JJ	29	amod	30	0	root	0
models	o	NNS	30	dobj	27	0	root	0
of	o	IN	31	prep	30	0	root	0
HD209458b	o	NNP	32	pobj	31	0	root	0
that	o	WDT	33	nsubj	34	0	root	0
rely	o	VBP	34	relcl	30	0	root	0
on	o	IN	35	prep	34	0	root	0
new	o	JJ	36	amod	37	0	root	0
approximations	o	NNS	37	pobj	35	0	root	0
of	o	IN	38	prep	37	0	root	0
photoelectron	o	NN	39	compound	41	0	root	0
heating	o	NN	40	compound	41	0	root	0
efficiency	o	NN	41	pobj	38	0	root	0
and	o	CC	42	cc	34	0	root	0
derive	o	VB	43	conj	34	0	root	0
an	o	DT	44	det	45	0	root	0
estimate	o	NN	45	dobj	43	0	root	0
of	o	IN	46	prep	45	0	root	0
ηnet	o	NN	47	pobj	46	0	root	0
based	o	VBN	48	acl	45	0	root	0
on	o	IN	49	prep	48	0	root	0
these	o	DT	50	det	51	0	root	0
models	o	NNS	51	pobj	49	0	root	0
.	o	.	52	punct	27	0	root	0

Here	o	RB	53	advmod	56	0	root	0
we	o	PRP	54	nsubj	56	0	root	0
also	o	RB	55	advmod	56	0	root	0
include	o	VBP	56	ROOT	56	0	root	0
radiative	o	NN	57	amod	58	0	root	0
cooling	o	NN	58	dobj	56	0	root	0
from	o	IN	59	prep	58	0	root	0
recombination	o	NN	60	pobj	59	0	root	0
and	o	CC	61	cc	56	0	root	0
,	o	,	62	punct	56	0	root	0
in	o	IN	63	prep	70	0	root	0
one	o	CD	64	nummod	65	0	root	0
case	o	NN	65	pobj	63	0	root	0
,	o	,	66	punct	63	0	root	0
H	o	NNP	67	compound	68	0	root	0
Lyman	o	NNP	68	nmod	70	0	root	0
α	o	IN	69	amod	70	0	root	0
emissions	o	NNS	70	dobj	56	0	root	0
by	o	IN	71	prep	70	0	root	0
excited	o	JJ	72	amod	73	0	root	0
H	o	NNP	73	pobj	71	0	root	0
(	o	-LRB-	74	punct	73	0	root	0
Murray	o	NNP	75	compound	79	0	root	0
-	o	HYPH	76	punct	79	0	root	0
Clay	o	NNP	77	nmod	79	0	root	0
et	o	FW	78	nmod	79	0	root	0
al	o	NNP	79	appos	73	0	root	0
.	o	NNP	80	punct	73	0	root	0
,	o	,	81	punct	80	0	root	0
2009	o	CD	82	npadvmod	80	0	root	0
)	o	-RRB-	83	punct	73	0	root	0
.	o	.	84	punct	56	0	root	0

Our	o	PRP$	85	poss	86	0	root	0
aim	o	NN	86	nsubj	87	0	root	0
was	o	VBD	87	ROOT	87	0	root	0
to	o	TO	88	aux	89	0	root	0
calculate	o	VB	89	xcomp	87	0	root	0
the	o	DT	90	det	93	0	root	0
most	o	RBS	91	advmod	92	0	root	0
likely	o	JJ	92	amod	93	0	root	0
range	o	NN	93	dobj	89	0	root	0
of	o	IN	94	prep	93	0	root	0
temperatures	o	NNS	95	pobj	94	0	root	0
in	o	IN	96	prep	95	0	root	0
the	o	DT	97	det	98	0	root	0
thermosphere	o	NN	98	pobj	96	0	root	0
of	o	IN	99	prep	98	0	root	0
HD209458b	o	NNP	100	pobj	99	0	root	0
