In	o	IN	0	prep	5	0	root	0
the	o	DT	1	det	3	0	root	0
previous	o	JJ	2	amod	3	0	root	0
section	o	NN	3	pobj	0	0	root	0
we	o	PRP	4	nsubj	5	0	root	0
discussed	o	VBD	5	ROOT	5	0	root	0
models	o	NNS	6	dobj	5	0	root	0
where	o	WRB	7	advmod	14	0	root	0
the	o	DT	8	det	12	0	root	0
net	o	JJ	9	amod	12	0	root	0
heating	o	NN	10	compound	11	0	root	0
efficiency	o	NN	11	compound	12	0	root	0
ηnet	o	NN	12	nsubjpass	14	0	root	0
was	o	VBD	13	auxpass	14	0	root	0
fixed	o	VBN	14	relcl	6	0	root	0
at	o	IN	15	prep	14	0	root	0
a	o	DT	16	det	18	0	root	0
constant	o	JJ	17	amod	18	0	root	0
value	o	NN	18	pobj	15	0	root	0
at	o	IN	19	prep	14	0	root	0
all	o	DT	20	det	21	0	root	0
altitudes	o	NNS	21	pobj	19	0	root	0
.	o	.	22	punct	5	0	root	0
@@annotations@@
QA
ME
MP
QL
QA_ME_Rel
QA_MP_Rel
MP_ME_Rel
QA_QL_Rel
Doc	S0019103512004009-4007

In	o	IN	0	prep	4	0	root	0
this	o	DT	1	det	2	0	root	0
section	o	NN	2	pobj	0	0	root	0
we	o	PRP	3	nsubj	4	0	root	0
discuss	o	VBP	4	ROOT	4	0	root	0
more	o	RBR	5	advmod	6	0	root	0
realistic	o	JJ	6	amod	7	0	root	0
models	o	NNS	7	dobj	4	0	root	0
of	o	IN	8	prep	7	0	root	0
HD209458b	o	NNP	9	pobj	8	0	root	0
that	o	WDT	10	nsubj	11	0	root	0
rely	o	VBP	11	relcl	7	0	root	0
on	o	IN	12	prep	11	0	root	0
new	o	JJ	13	amod	14	0	root	0
approximations	o	NNS	14	pobj	12	0	root	0
of	o	IN	15	prep	14	0	root	0
photoelectron	o	NN	16	compound	18	0	root	0
heating	o	NN	17	compound	18	0	root	0
efficiency	o	NN	18	pobj	15	0	root	0
and	o	CC	19	cc	11	0	root	0
derive	o	VB	20	conj	11	0	root	0
an	o	DT	21	det	22	0	root	0
estimate	o	NN	22	dobj	20	0	root	0
of	o	IN	23	prep	22	0	root	0
ηnet	o	NN	24	pobj	23	0	root	0
based	o	VBN	25	acl	22	0	root	0
on	o	IN	26	prep	25	0	root	0
these	o	DT	27	det	28	0	root	0
models	o	NNS	28	pobj	26	0	root	0
.	o	.	29	punct	4	0	root	0
@@annotations@@
QA
ME
MP
QL
QA_ME_Rel
QA_MP_Rel
MP_ME_Rel
QA_QL_Rel
Doc	S0019103512004009-4007

Here	o	RB	0	advmod	3	0	root	0
we	o	PRP	1	nsubj	3	0	root	0
also	o	RB	2	advmod	3	0	root	0
include	o	VBP	3	ROOT	3	0	root	0
radiative	o	NN	4	amod	5	0	root	0
cooling	o	NN	5	dobj	3	0	root	0
from	o	IN	6	prep	5	0	root	0
recombination	o	NN	7	pobj	6	0	root	0
and	o	CC	8	cc	3	0	root	0
,	o	,	9	punct	3	0	root	0
in	o	IN	10	prep	17	0	root	0
one	o	CD	11	nummod	12	0	root	0
case	o	NN	12	pobj	10	0	root	0
,	o	,	13	punct	10	0	root	0
H	o	NNP	14	compound	15	0	root	0
Lyman	o	NNP	15	nmod	17	0	root	0
α	o	IN	16	amod	17	0	root	0
emissions	o	NNS	17	dobj	3	0	root	0
by	o	IN	18	prep	17	0	root	0
excited	o	JJ	19	amod	20	0	root	0
H	o	NNP	20	pobj	18	0	root	0
(	o	-LRB-	21	punct	20	0	root	0
Murray	o	NNP	22	compound	26	0	root	0
-	o	HYPH	23	punct	26	0	root	0
Clay	o	NNP	24	nmod	26	0	root	0
et	o	FW	25	nmod	26	0	root	0
al	o	NNP	26	appos	20	0	root	0
.	o	NNP	27	punct	20	0	root	0
,	o	,	28	punct	27	0	root	0
2009	o	CD	29	npadvmod	27	0	root	0
)	o	-RRB-	30	punct	20	0	root	0
.	o	.	31	punct	3	0	root	0
@@annotations@@
QA
ME
MP
QL
QA_ME_Rel
QA_MP_Rel
MP_ME_Rel
QA_QL_Rel
Doc	S0019103512004009-4007

Our	o	PRP$	0	poss	1	0	root	0
aim	o	NN	1	nsubj	2	0	root	0
was	o	VBD	2	ROOT	2	0	root	0
to	o	TO	3	aux	4	0	root	0
calculate	o	VB	4	xcomp	2	0	root	0
